Recipe Name,Country,Ingredients,Instructions,Cuisine Type,Dietary Restrictions,Complete Recipe Process
Spaghetti Carbonara Variation 0,Italy,"Spaghetti, Eggs, Parmesan Cheese, Pancetta, Black Pepper","Cook spaghetti. Fry pancetta. Mix eggs and cheese, then combine with spaghetti and pancetta.",Spanish,"Contains dairy, gluten, pork","To prepare Spaghetti Carbonara, start by gathering the ingredients: Spaghetti, Eggs, Parmesan Cheese, Pancetta, Black Pepper. Follow these steps carefully: 1) Prepare ingredients by washing and chopping as needed. 2) Heat the cooking surface and add base ingredients (e.g., oil, spices, or broth). 3) Cook the main ingredients, ensuring proper seasoning. 4) Let simmer or bake until fully cooked. 5) Serve hot and enjoy!"
Borscht Variation 0,Russia,"Beets, Cabbage, Potatoes, Carrots, Onion, Sour Cream","Boil vegetables, blend, serve with sour cream.",Korean,"Vegetarian (without meat), contains dairy","To prepare Borscht, start by gathering the ingredients: Beets, Cabbage, Potatoes, Carrots, Onion, Sour Cream. Follow these steps carefully: 1) Prepare ingredients by washing and chopping as needed. 2) Heat the cooking surface and add base ingredients (e.g., oil, spices, or broth). 3) Cook the main ingredients, ensuring proper seasoning. 4) Let simmer or bake until fully cooked. 5) Serve hot and enjoy!"
Shakshuka Variation 0,Middle East,"Eggs, Tomatoes, Bell Peppers, Onion, Garlic, Spices","Cook tomatoes, peppers, and spices, then poach eggs in the sauce.",Mexican,Vegetarian,"To prepare Shakshuka, start by gathering the ingredients: Eggs, Tomatoes, Bell Peppers, Onion, Garlic, Spices. Follow these steps carefully: 1) Prepare ingredients by washing and chopping as needed. 2) Heat the cooking surface and add base ingredients (e.g., oil, spices, or broth). 3) Cook the main ingredients, ensuring proper seasoning. 4) Let simmer or bake until fully cooked. 5) Serve hot and enjoy!"
Spaghetti Carbonara Variation 1,Italy,"Spaghetti, Eggs, Parmesan Cheese, Pancetta, Black Pepper","Cook spaghetti. Fry pancetta. Mix eggs and cheese, then combine with spaghetti and pancetta.",Indian,"Contains dairy, gluten, pork","To prepare Spaghetti Carbonara, start by gathering the ingredients: Spaghetti, Eggs, Parmesan Cheese, Pancetta, Black Pepper. Follow these steps carefully: 1) Prepare ingredients by washing and chopping as needed. 2) Heat the cooking surface and add base ingredients (e.g., oil, spices, or broth). 3) Cook the main ingredients, ensuring proper seasoning. 4) Let simmer or bake until fully cooked. 5) Serve hot and enjoy!"
Borscht Variation 1,Russia,"Beets, Cabbage, Potatoes, Carrots, Onion, Sour Cream","Boil vegetables, blend, serve with sour cream.",Thai,"Vegetarian (without meat), contains dairy","To prepare Borscht, start by gathering the ingredients: Beets, Cabbage, Potatoes, Carrots, Onion, Sour Cream. Follow these steps carefully: 1) Prepare ingredients by washing and chopping as needed. 2) Heat the cooking surface and add base ingredients (e.g., oil, spices, or broth). 3) Cook the main ingredients, ensuring proper seasoning. 4) Let simmer or bake until fully cooked. 5) Serve hot and enjoy!"
Shakshuka Variation 1,Middle East,"Eggs, Tomatoes, Bell Peppers, Onion, Garlic, Spices","Cook tomatoes, peppers, and spices, then poach eggs in the sauce.",Middle Eastern,Vegetarian,"To prepare Shakshuka, start by gathering the ingredients: Eggs, Tomatoes, Bell Peppers, Onion, Garlic, Spices. Follow these steps carefully: 1) Prepare ingredients by washing and chopping as needed. 2) Heat the cooking surface and add base ingredients (e.g., oil, spices, or broth). 3) Cook the main ingredients, ensuring proper seasoning. 4) Let simmer or bake until fully cooked. 5) Serve hot and enjoy!"
Spaghetti Carbonara Variation 2,Italy,"Spaghetti, Eggs, Parmesan Cheese, Pancetta, Black Pepper","Cook spaghetti. Fry pancetta. Mix eggs and cheese, then combine with spaghetti and pancetta.",Thai,"Contains dairy, gluten, pork","To prepare Spaghetti Carbonara, start by gathering the ingredients: Spaghetti, Eggs, Parmesan Cheese, Pancetta, Black Pepper. Follow these steps carefully: 1) Prepare ingredients by washing and chopping as needed. 2) Heat the cooking surface and add base ingredients (e.g., oil, spices, or broth). 3) Cook the main ingredients, ensuring proper seasoning. 4) Let simmer or bake until fully cooked. 5) Serve hot and enjoy!"
Borscht Variation 2,Russia,"Beets, Cabbage, Potatoes, Carrots, Onion, Sour Cream","Boil vegetables, blend, serve with sour cream.",Middle Eastern,"Vegetarian (without meat), contains dairy","To prepare Borscht, start by gathering the ingredients: Beets, Cabbage, Potatoes, Carrots, Onion, Sour Cream. Follow these steps carefully: 1) Prepare ingredients by washing and chopping as needed. 2) Heat the cooking surface and add base ingredients (e.g., oil, spices, or broth). 3) Cook the main ingredients, ensuring proper seasoning. 4) Let simmer or bake until fully cooked. 5) Serve hot and enjoy!"
Shakshuka Variation 2,Middle East,"Eggs, Tomatoes, Bell Peppers, Onion, Garlic, Spices","Cook tomatoes, peppers, and spices, then poach eggs in the sauce.",Spanish,Vegetarian,"To prepare Shakshuka, start by gathering the ingredients: Eggs, Tomatoes, Bell Peppers, Onion, Garlic, Spices. Follow these steps carefully: 1) Prepare ingredients by washing and chopping as needed. 2) Heat the cooking surface and add base ingredients (e.g., oil, spices, or broth). 3) Cook the main ingredients, ensuring proper seasoning. 4) Let simmer or bake until fully cooked. 5) Serve hot and enjoy!"
Spaghetti Carbonara Variation 3,Italy,"Spaghetti, Eggs, Parmesan Cheese, Pancetta, Black Pepper","Cook spaghetti. Fry pancetta. Mix eggs and cheese, then combine with spaghetti and pancetta.",Mexican,"Contains dairy, gluten, pork","To prepare Spaghetti Carbonara, start by gathering the ingredients: Spaghetti, Eggs, Parmesan Cheese, Pancetta, Black Pepper. Follow these steps carefully: 1) Prepare ingredients by washing and chopping as needed. 2) Heat the cooking surface and add base ingredients (e.g., oil, spices, or broth). 3) Cook the main ingredients, ensuring proper seasoning. 4) Let simmer or bake until fully cooked. 5) Serve hot and enjoy!"
